Category-Item,Unnamed: 0_level_0-Unnamed: 0_level_1,Comfort-Air conditioning,Comfort-Central door locking,Comfort-Cruise control,Comfort-Dual zone climatronic,Comfort-Electric windows,Comfort-Keyless entry,Comfort-Parking sensors,Comfort-Power steering,Comfort-Start / stop system,Drive-Drive system,Drive-Fuel,Drive-Total max power,Drive-Total max torque,Drive-Wheel drive,Electric Engine-Battery capacity,Electric Engine-Battery type,Electric Engine-Battery voltage,Electric Engine-Charging 230V/16A,Electric Engine-Engine type,Electric Engine-Max torque,Electric Engine-Number of engines,Electric Engine-Total max power,Exterior sizes-Height,Exterior sizes-Length,Exterior sizes-Wheelbase,Exterior sizes-Width,Fuel Engine-Capacity,Fuel Engine-Catalyst,Fuel Engine-Cylinders,Fuel Engine-Engine type,Fuel Engine-Fuel system,Fuel Engine-Fuel tank,Fuel Engine-Max power RPM,Fuel Engine-Max power,Fuel Engine-Max torque RPM,Fuel Engine-Max torque,Fuel Engine-Turbo,Fuel Engine-Valves per cylinder,General Specifications-Carbody,General Specifications-Doors number,General Specifications-End date,General Specifications-Last new price,General Specifications-Number of car seats,General Specifications-Release date,General Specifications-Transmission,Performance-Acceleration 0-100 km/h,Performance-Average consumption,Performance-CO2 Emission,Performance-Energy level,Performance-Extra-urban consumption,Performance-Top speed,Performance-Urban consumption,Transmission  / Gear ratio-Final drive,Transmission  / Gear ratio-RPM at 120 km/h (theoretical),Vehicle-Model,Vehicle-Url,Weights-Empty mass,Weights-Max. permissible mass,Weights-Max. roof load,Fuel Engine-Stroke,Chassis-Rolling Radius Static,Chassis-Rolling Radius Dynamic,Transmission  / Gear ratio-Gear Box Ratios,Weights-Unladen mass,Weights-Running order mass,Weights-Reference mass,Weights-Inertia mass,Exterior sizes-Frontal area
24187,33747,yes,yes,no,no,,no,350,yes,yes,fuel engine,petrol,51,102,front,,,,,,,,,1.488,3.546,2.3,1.627,1242,regular,4,ohc,multipoint injection,35,5500,51,3000,102,no,2,hatchback,2,2011,19795,4,2010,automatic,13,4.7,110,C,4.1,160,5.6,3.44,3400,Fiat 500C 1.2 S&S By Diesel  2010 - 2011,http://www.cars-data.com/en/fiat-500c-1.2-s-s-by-diesel-specs/11641,880,1305,50,78.86,271.645,282.4757282,[3.91- 2.16- 1.48- 1.12- 0.9],856.375,931.375,956.375,910,2.420976
24209,33769,yes,yes,no,no,,no,yes,yes,yes,fuel engine,petrol,59,145,front,,,,,,,,,1.488,3.546,2.3,1.627,875,regular,2,ohc,multipoint injection,35,5500,59,1900,145,yes,4,hatchback,2,2015,22395,4,2014,automatic,11,3.8,88,A,3.4,173,4.4,3.87,3250,Fiat 500C TwinAir 80 Cult  2014 - 2015,http://www.cars-data.com/en/fiat-500c-twinair-80-cult-specs/64668,955,1370,50,86,271.645,282.4757282,[4.1- 2.16- 1.34- 0.97- 0.77],931.375,1006.375,1031.375,1020,2.420976
24211,33771,yes,yes,no,no,,no,yes,yes,yes,fuel engine,petrol,59,145,front,,,,,,,,,1.488,3.546,2.3,1.627,875,regular,2,ohc,multipoint injection,35,5500,59,1900,145,yes,4,hatchback,2,2015,19695,4,2014,automatic,11,3.8,88,A,3.4,173,4.4,3.87,3250,Fiat 500C TwinAir 80 Easy  2014 - 2015,http://www.cars-data.com/en/fiat-500c-twinair-80-easy-specs/60684,955,1370,50,86,266.525,283.0582524,[4.1- 2.16- 1.34- 0.97- 0.77],931.375,1006.375,1031.375,1020,2.420976
24213,33773,yes,yes,no,no,,no,yes,yes,yes,fuel engine,petrol,59,145,front,,,,,,,,,1.488,3.546,2.3,1.627,875,regular,2,ohc,multipoint injection,35,5500,59,1900,145,yes,4,hatchback,2,available,21395,4,2014,automatic,11,3.8,88,A,3.4,173,4.4,3.87,3250,Fiat 500C TwinAir 80 Lounge  2014 - 2016,http://www.cars-data.com/en/fiat-500c-twinair-80-lounge-specs/60686,955,1370,50,86,269.865,283.7378641,[4.1- 2.16- 1.34- 0.97- 0.77],931.375,1006.375,1031.375,1020,2.420976
24214,33774,yes,yes,no,no,,no,yes,yes,yes,fuel engine,petrol,59,145,front,,,,,,,,,1.488,3.546,2.3,1.627,875,regular,2,ohc,multipoint injection,35,5500,59,1900,145,yes,4,hatchback,2,available,20395,4,2015,automatic,11,3.8,88,A,3.4,173,4.4,3.87,3250,Fiat 500C TwinAir 80 PopStar  2015 - 2016,http://www.cars-data.com/en/fiat-500c-twinair-80-popstar-specs/64666,955,1370,50,86,266.525,283.0582524,[4.1- 2.16- 1.34- 0.97- 0.77],931.375,1006.375,1031.375,1020,2.420976
24217,33777,yes,yes,no,no,,no,yes,yes,yes,fuel engine,petrol,59,145,front,,,,,,,,,1.488,3.546,2.3,1.627,875,regular,2,ohc,multipoint injection,35,5500,59,1900,145,yes,4,hatchback,2,2014,22245,4,2014,automatic,11,3.8,88,A,3.4,173,4.4,3.87,3250,Fiat 500C TwinAir 80 Rock  2014 - 2014,http://www.cars-data.com/en/fiat-500c-twinair-80-rock-specs/60690,955,1370,50,86,271.645,282.4757282,[4.1- 2.16- 1.34- 0.97- 0.77],931.375,1006.375,1031.375,1020,2.420976
24218,33778,yes,yes,no,no,,no,305,yes,yes,fuel engine,petrol,59,145,front,,,,,,,,,1.488,3.546,2.3,1.627,875,regular,2,ohc,multipoint injection,35,5500,59,1900,145,yes,4,hatchback,2,available,21895,4,2014,automatic,11,3.8,88,A,3.4,173,4.4,3.87,3250,Fiat 500C TwinAir 80 S  2014 - 2016,http://www.cars-data.com/en/fiat-500c-twinair-80-s-specs/60688,955,1370,50,86,271.645,282.4757282,[4.1- 2.16- 1.34- 0.97- 0.77],931.375,1006.375,1031.375,1020,2.420976
24220,33780,875,yes,no,no,,no,yes,yes,yes,fuel engine,petrol,63,145,front,,,,,,,,,1.488,3.546,2.3,1.627,875,regular,2,ohc,multipoint injection,35,5500,63,1900,145,yes,4,hatchback,2,2012,18295,4,2011,automatic,11,4,92,A,3.6,173,4.6,3.87,3250,Fiat 500C TwinAir 85  2011 - 2012,http://www.cars-data.com/en/fiat-500c-twinair-85-specs/11649,945,1370,50,86,266.525,283.0582524,[4.1- 2.16- 1.34- 0.97- 0.77],921.375,996.375,1021.375,1020,2.420976
24223,33783,yes,yes,no,no,,no,350,yes,yes,fuel engine,petrol,63,145,front,,,,,,,,,1.488,3.546,2.3,1.627,875,regular,2,ohc,multipoint injection,35,5500,63,1900,145,yes,4,hatchback,2,2013,23195,4,2011,automatic,11,3.9,90,A,3.6,173,4.4,3.87,3250,Fiat 500C TwinAir 85 by Gucci  2011 - 2013,http://www.cars-data.com/en/fiat-500c-twinair-85-by-gucci-specs/11660,955,1370,50,86,271.645,282.4757282,[4.1- 2.16- 1.34- 0.97- 0.77],931.375,1006.375,1031.375,1020,2.420976
24225,33785,yes,yes,no,no,,no,yes,yes,yes,fuel engine,petrol,63,145,front,,,,,,,,,1.488,3.546,2.3,1.627,875,regular,2,ohc,multipoint injection,35,5500,63,1900,145,yes,4,hatchback,2,2013,18795,4,2012,automatic,11,3.9,90,A,3.6,173,4.4,3.87,3250,Fiat 500C TwinAir 85 Color Therapy  2012 - 2013,http://www.cars-data.com/en/fiat-500c-twinair-85-color-therapy-specs/11653,955,1370,50,86,266.525,283.0582524,[4.1- 2.16- 1.34- 0.97- 0.77],931.375,1006.375,1031.375,1020,2.420976
