Category-Item,vehicle-class,Unnamed: 0_level_0-Unnamed: 0_level_1,Comfort-Air conditioning,Comfort-Central door locking,Comfort-Cruise control,Comfort-Dual zone climatronic,Comfort-Electric windows,Comfort-Keyless entry,Comfort-Parking sensors,Comfort-Power steering,Comfort-Start / stop system,Comfort-Start button,Drive-Drive system,Drive-Fuel,Drive-Total max power,Drive-Total max torque,Drive-Wheel drive,Electric Engine-Battery capacity,Electric Engine-Battery type,Electric Engine-Battery voltage,Electric Engine-Charging 230V/16A,Electric Engine-Engine type,Electric Engine-Max torque,Electric Engine-Number of engines,Electric Engine-Total max power,Electric Engine-Battery range,Electric Engine-Power consumption,Exterior sizes-Height,Exterior sizes-Length,Exterior sizes-Wheelbase,Exterior sizes-Width,Exterior sizes-Ground clearance,Fuel Engine-Capacity,Fuel Engine-Catalyst,Fuel Engine-Cylinders,Fuel Engine-Engine type,Fuel Engine-Fuel system,Fuel Engine-Fuel tank,Fuel Engine-Max power RPM,Fuel Engine-Max power,Fuel Engine-Max torque RPM,Fuel Engine-Max torque,Fuel Engine-Turbo,Fuel Engine-Valves per cylinder,General Specifications-Carbody,General Specifications-Doors number,General Specifications-End date,General Specifications-Last new price,General Specifications-Number of car seats,General Specifications-Release date,General Specifications-Transmission,Performance-Acceleration 0-100 km/h,Performance-Average consumption,Performance-CO2 Emission,Performance-Energy level,Performance-Extra-urban consumption,Performance-Top speed,Performance-Urban consumption,Transmission  / Gear ratio-Final drive,Transmission  / Gear ratio-RPM at 120 km/h (theoretical),Weights-Empty mass,Weights-Max. permissible mass,Weights-Max. roof load,Fuel Engine-Stroke,Chassis-Rolling Radius Static,Chassis-Rolling Radius Dynamic,Transmission  / Gear ratio-Gear Box Ratios,Weights-Unladen mass,Weights-Running order mass,Weights-Reference mass,Weights-Inertia mass,Exterior sizes-Frontal area,Class-Euro standard car segments
39393,A,56022,yes,yes,no,no,,no,no,yes,no,,fuel engine,diesel,70,200,front,,,,,,,,,,,1.488,3.546,2.3,1.627,,1248,particle filter,4,dohc,common rail,35,4000,70,1500,200,yes,4,hatchback,3,2015,20195,4,2013,manual,11,3.7,97,C,3.1,180,4.7,3.44,2900,955,1420,50,82,269.865,283.7378641,[3.91- 2.16- 1.35- 0.97- 0.77],931.375,1006.375,1031.375,1020,2.420976,A
8188,A,9793,yes,yes,yes,no,,no,no,yes,no,,fuel engine,diesel,63,200,front,,,,,,,,,,,1.47,3.687,2.367,1.654,,1461,particle filter,4,ohc,common rail,40,4000,63,1750,200,yes,2,hatchback,3,2014,13890,4,2013,manual,11.2,3.3,85,B,3,185,3.8,3.44,2600,955,1425,,80.5,266.525,283.0582524,[3.73- 2.05- 1.32- 0.94- 0.69],928,1003,1028,1020,2.43138,A
40516,B,57623,yes,yes,yes,no,,no,550,yes,no,,fuel engine,petrol,74,145,front,,,,,,,,,,,1.493,4.027,2.575,1.707,,1149,regular,4,ohc,multipoint injection,55,5500,74,3000,145,yes,4,hatchback,3,2012,16390,5,2012,manual,11,5.4,125,C,4.5,184,7,3.88,3350,1065,1580,,76.8,279.25,291.9417476,[3.73- 2.05- 1.39- 1.03- 0.82],1027.875,1102.875,1127.875,1130,2.548551,B
35452,B,50322,995,yes,295,no,,no,550,yes,no,,fuel engine,diesel,65,200,front,,,,,,,,,,,1.493,4.027,2.575,1.707,,1461,particle filter,4,ohc,common rail,55,4000,65,1750,200,yes,2,hatchback,5,2013,16890,5,2012,manual,11,3.4,89,B,3,182,4.2,3.29,2400,1175,1665,,80.5,277.08,292.7184466,[3.73- 2.05- 1.32- 0.94- 0.69],1137.875,1212.875,1237.875,1250,2.548551,B
40225,B,57227,yes,yes,yes,no,,no,yes,yes,yes,,fuel engine,diesel,55,210,front,,,,,,,,,,,1.453,3.972,2.47,1.682,,1422,particle filter,3,dohc,common rail,45,3000,55,1500,210,yes,4,hatchback,3,available,19350,5,2015,manual,12.9,3.1,82,B,2.6,178,4,3.39,2350,1090,1620,75,95.5,277.08,292.7184466,[3.78- 2.12- 1.27- 0.87- 0.66],1059.625,1134.625,1159.625,1130,2.443946,B
7897,B,9481,yes,yes,yes,yes,,no,yes,yes,no,,fuel engine,petrol,153,300,front,,,,,,,,,,,1.45,3.962,2.538,1.739,,1598,regular,4,dohc,direct injection,50,6800,153,1700,300,yes,4,hatchback,3,available,30208,5,2015,manual,6.5,5.4,125,C,4.6,230,6.9,3.56,2500,1135,1650,65,85.8,292.56,301.5533981,[3.55- 1.92- 1.32- 1.03- 0.82- 0.68],1101.25,1176.25,1201.25,1130,2.52155,B
7972,B,9557,yes,yes,yes,no,,no,no,yes,yes,,fuel engine,diesel,68,230,front,,,,,,,,,,,1.46,3.962,2.538,1.739,,1560,regular,4,dohc,common rail,50,4000,68,1750,230,yes,2,hatchback,5,2015,19815,5,2014,manual,10.9,3.3,85,B,3,185,3.8,3.47,2350,1055,1625,65,88.3,284.295,301.6990291,[3.45- 1.87- 1.16- 0.82- 0.66],1021.25,1096.25,1121.25,1130,2.53894,B
41388,B,58842,yes,yes,no,no,,no,yes,yes,no,,fuel engine,petrol,74,146,front,,,,,,,,,,,1.463,3.918,2.486,1.683,,1596,regular,4,dohc,multipoint injection,45,6000,74,4000,146,no,4,hatchback,5,2008,16195,5,2008,manual,11,6.4,153,F,5.1,183,8.8,4.25,3450,1011,1540,75,81.4,274.155,289.0776699,[3.15- 1.93- 1.28- 0.95- 0.76],980.625,1055.625,1080.625,1020,2.462229,B
5766,B,7076,yes,yes,yes,no,,no,yes,yes,yes,,fuel engine,diesel,66,130,front,,,,,,,,,,,1.479,4.021,2.51,1.736,,1248,particle filter,4,dohc,common rail,45,3750,70,1500,190,yes,4,hatchback,3,available,19895,5,2015,automatic,13.5,3.1,82,B,3,182,3.4,3.55,2450,1099,1665,75,82,286.855,301.407767,[3.73- 1.96- 1.32- 0.89- 0.67],1068.625,1143.625,1168.625,1130,2.567544,B
9645,B,11903,yes,yes,yes,yes,,no,yes,yes,no,,fuel engine,petrol,81,205,front,,,,,,,,,,,1.631,4.101,2.54,1.766,,1199,regular,3,dohc,direct injection,50,5500,81,1500,205,no,4,mpv,5,available,19590,5,2015,manual,10.7,5,115,B,4.2,186,6.4,4.76,3750,1179,1753,60,90.5,286.855,301.407767,[3.42- 1.8- 1.28- 0.98- 0.77],1145.25,1220.25,1245.25,1250,2.880346,B
