Category-Item,vehicle-class,Unnamed: 0_level_0-Unnamed: 0_level_1,Comfort-Air conditioning,Comfort-Central door locking,Comfort-Cruise control,Comfort-Dual zone climatronic,Comfort-Electric windows,Comfort-Keyless entry,Comfort-Parking sensors,Comfort-Power steering,Comfort-Start / stop system,Comfort-Start button,Drive-Drive system,Drive-Fuel,Drive-Total max power,Drive-Total max torque,Drive-Wheel drive,Electric Engine-Battery capacity,Electric Engine-Battery type,Electric Engine-Battery voltage,Electric Engine-Charging 230V/16A,Electric Engine-Engine type,Electric Engine-Max torque,Electric Engine-Number of engines,Electric Engine-Total max power,Electric Engine-Battery range,Electric Engine-Power consumption,Exterior sizes-Height,Exterior sizes-Length,Exterior sizes-Wheelbase,Exterior sizes-Width,Exterior sizes-Ground clearance,Fuel Engine-Capacity,Fuel Engine-Catalyst,Fuel Engine-Cylinders,Fuel Engine-Engine type,Fuel Engine-Fuel system,Fuel Engine-Fuel tank,Fuel Engine-Max power RPM,Fuel Engine-Max power,Fuel Engine-Max torque RPM,Fuel Engine-Max torque,Fuel Engine-Turbo,Fuel Engine-Valves per cylinder,General Specifications-Carbody,General Specifications-Doors number,General Specifications-End date,General Specifications-Last new price,General Specifications-Number of car seats,General Specifications-Release date,General Specifications-Transmission,Performance-Acceleration 0-100 km/h,Performance-Average consumption,Performance-CO2 Emission,Performance-Energy level,Performance-Extra-urban consumption,Performance-Top speed,Performance-Urban consumption,Transmission  / Gear ratio-Final drive,Transmission  / Gear ratio-RPM at 120 km/h (theoretical),Weights-Empty mass,Weights-Max. permissible mass,Weights-Max. roof load,Fuel Engine-Stroke,Chassis-Rolling Radius Static,Chassis-Rolling Radius Dynamic,Transmission  / Gear ratio-Gear Box Ratios,Weights-Unladen mass,Weights-Running order mass,Weights-Reference mass,Weights-Inertia mass,Exterior sizes-Frontal area,Class-Euro standard car segments
35135,A,49849,yes,yes,no,no,,no,no,yes,no,,fuel engine,petrol,59,145,front,,,,,,,,,,,1.488,3.546,2.3,1.627,,875,regular,2,ohc,multipoint injection,35,5500,59,1900,145,yes,4,hatchback,3,available,17495,4,2015,automatic,11,3.8,88,A,3.4,173,4.4,3.87,3250,915,1370,50,86,269.865,283.7378641,[4.1- 2.16- 1.34- 0.97- 0.77],891.375,966.375,991.375,910,2.420976,A
39393,A,56022,yes,yes,no,no,,no,no,yes,no,,fuel engine,diesel,70,200,front,,,,,,,,,,,1.488,3.546,2.3,1.627,,1248,particle filter,4,dohc,common rail,35,4000,70,1500,200,yes,4,hatchback,3,2015,20195,4,2013,manual,11,3.7,97,C,3.1,180,4.7,3.44,2900,955,1420,50,82,269.865,283.7378641,[3.91- 2.16- 1.35- 0.97- 0.77],931.375,1006.375,1031.375,1020,2.420976,A
27748,A,39174,815,yes,no,no,,no,no,yes,yes,,fuel engine,petrol,44,88,front,,,,,,,,,,,1.551,3.653,2.3,1.643,,964,regular,2,ohc,multipoint injection,37,6250,44,3500,88,no,4,hatchback,5,available,9995,4,2014,manual,15,3.8,88,A,3.4,158,4.5,4.5,3800,930,1420,,86,266.525,283.0582524,[4.1- 2.16- 1.34- 0.97- 0.77],905.025,980.025,1005.025,1020,2.548293,A
15109,A,19563,yes,yes,no,no,,no,no,yes,no,,fuel engine,diesel,51,145,front+rear,,,,,,,,,,,1.643,3.581,2.305,1.611,,1248,no,4,dohc,common rail,30,4000,51,1500,145,yes,4,hatchback,5,2007,21995,4,2006,manual,18,5.3,141,G,4.4,150,7,4.06,3150,1090,1535,50,82,279.225,295.3883495,[3.91- 2.16- 1.35- 0.97- 0.74],1069.75,1144.75,1169.75,1130,2.646873,A
8183,A,9788,yes,yes,yes,no,,no,no,yes,no,,fuel engine,petrol,55,107,front,,,,,,,,,,,1.47,3.687,2.367,1.654,,1149,regular,4,ohc,multipoint injection,40,5500,55,4250,107,no,4,hatchback,3,2014,10590,4,2013,manual,12.3,4.5,104,B,3.7,170,5.9,3.56,3100,839,1360,,76.8,266.525,283.0582524,[3.73- 2.05- 1.39- 1.03- 0.8],812,887,912,910,2.43138,A
8188,A,9793,yes,yes,yes,no,,no,no,yes,no,,fuel engine,diesel,63,200,front,,,,,,,,,,,1.47,3.687,2.367,1.654,,1461,particle filter,4,ohc,common rail,40,4000,63,1750,200,yes,2,hatchback,3,2014,13890,4,2013,manual,11.2,3.3,85,B,3,185,3.8,3.44,2600,955,1425,,80.5,266.525,283.0582524,[3.73- 2.05- 1.32- 0.94- 0.69],928,1003,1028,1020,2.43138,A
26629,A,37660,490,yes,yes,no,,no,yes,yes,yes,,fuel engine,petrol,55,95,front,,,,,,,,,,,1.489,3.54,2.42,1.641,,999,regular,3,dohc,multipoint injection,35,6200,55,3000,95,no,4,hatchback,5,2014,12600,4,2014,manual,13.2,4.2,98,B,3.7,172,5.1,4.17,3650,840,1290,50,76.4,269.865,283.7378641,[3.64- 1.96- 1.27- 0.96- 0.8],816.375,891.375,916.375,910,2.443449,A
8358,A,10005,yes,yes,yes,no,,no,220,yes,yes,,fuel engine,petrol,55,95,front,,,,,,,,,,,1.463,3.563,2.42,1.641,,999,regular,3,dohc,multipoint injection,35,6200,55,3000,95,no,4,hatchback,3,available,12380,4,2015,manual,13.2,4.2,98,B,3.7,171,5.1,4.17,3600,829,1290,,76.4,267.89,284.7572816,[3.64- 1.96- 1.27- 0.96- 0.8],805.375,880.375,905.375,910,2.400783,A
17145,A,22927,yes,yes,no,no,,no,no,700,no,,fuel engine,petrol,45,95,rear,,,,,,,,,,,1.549,2.5,1.812,1.515,,698,regular,3,dohc,multipoint injection,33,5250,45,2000,95,yes,2,hatchback,3,2006,14800,2,2005,automatic,15.5,4.8,115,D,4.1,135,6,4.21,3250,730,990,,67,264.015,276.4563107,[3.38- 2.45- 1.76- 1.33- 0.97- 0.69],707.725,782.725,807.725,800,2.346735,A
17146,A,22928,yes,yes,no,no,,no,no,700,no,,fuel engine,diesel,30,100,rear,,,,,,,,,,,1.549,2.5,1.812,1.515,,799,no,3,dohc,direct injection,22,4200,30,1800,100,yes,2,hatchback,3,2006,17600,2,2005,automatic,19.8,3.4,90,C,3.1,135,3.9,3.15,2300,730,990,,79,264.015,276.4563107,[3.38- 2.45- 1.76- 1.25- 0.9- 0.65],715.15,790.15,815.15,800,2.346735,A
